Compound ID,InChIKey,SMILES,logS,logP,MW,Normalized_logS,Normalized_logP,Group,Avg_Similarity,Similarity_Grp
C1723,FIAFUQMPZJWCLV-UHFFFAOYSA-N,O=C(Nc1cccc(c1)C(=O)Nc1cc(ccc1C)C(=O)Nc1ccc(c2c1c(cc(c2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)Nc1cccc(c1)C(=O)Nc1cc(ccc1C)C(=O)Nc1ccc(c2c1c(cc(c2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,-13.25629814,13.666,1297.28,0.24909484571153195,0.7738609052358721,Low logS High logP,0.0811434564837616,Least Similar
C1724,NKNPHSJWQZXWIX-DCVDGXQQSA-N,CC[C@@H]1C[C@H]2CC[C@H](O2)[C@H](C)C(=O)O[C@@H](CC)C[C@@H]2CC[C@@H](O2)[C@@H](C)C(=O)O[C@@H](C[C@@H]2O[C@H]([C@@H](C(=O)O[C@H](C[C@H]3O[C@@H]([C@H](C(=O)O1)C)CC3)CC)C)CC2)CC,-13.1457164,7.5824,793.035,0.2546467809403511,0.5824829182972404,Low logS High logP,0.07146384414294055,Least Similar
C1725,ZPBNOWWJKRKBEV-YZMZVZPOSA-N,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2C(=O)/C(=C/NOCCCc4ccccc4)/C(=C(c2c(c3C)O)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C,-12.83707405,6.5479,858.969,0.2701426696473881,0.5499396006090271,Low logS High logP,0.11455816314321408,Least Similar
C1726,SKEVFVQMAFMKEM-DYNGLPSQSA-N,CCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCCCC)CCCCCCC.[Cl-],-12.5769707,5.4438,517.229,0.2832015793009969,0.5152068049980496,Low logS High logP,0.15799898180436295,Most Similar
C1727,ZAKOWWREFLAJOT-CEFNRUSXSA-N,C[C@@H](CCC[C@]1(C)CCc2c(O1)c(C)c(c(c2C)OC(=O)C)C)CCC[C@@H](CCCC(C)C)C,-12.55736392,9.0599,472.743,0.2841859694236854,0.6289621371317838,Low logS High logP,0.10750813682964036,Least Similar
C1728,VFBJXXJYHWLXRM-UHFFFAOYSA-N,O=C(CCc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)OCCSCCOC(=O)CCc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C,-12.15015633,8.6728,642.929,0.3046304855288174,0.6167847390872142,Low logS High logP,0.11364565620797688,Least Similar
C1729,GSMFFPAGZVRAPY-VLSXRWFESA-N,CCCCCCCC[NH+](C(=N)c1ccc(c2c1cccc2)OCCCC)CCCCCCCC.[Cl-],-12.05632873,5.0537,503.202,0.30934125204303153,0.5029350329050849,Low logS High logP,0.15825848362074435,Most Similar
C1730,GOATZYAVXMPVQD-UHFFFAOYSA-N,Brc1cnc(c(c1)Br)OCCCCCNCCSSCCNCCCCCOc1ncc(cc1Br)Br.Cl.Cl,-12.00111017,10.2714,867.22,0.3121135892168603,0.6670735236753028,Low logS High logP,0.11959794816168155,Least Similar
C1732,MBWXNTAXLNYFJB-NKFFZRIASA-N,C[C@H](CCC[C@@H](CCCC(C)C)C)CCC/C(=C/CC1=C(C)C(=O)c2c(C1=O)cccc2)/C,-11.96104738,9.1576,450.696,0.314125006428832,0.6320355853078481,Low logS High logP,0.13513263325286018,Most Similar
C1733,VWZAGCZUPZKTET-UHFFFAOYSA-N,OS(=O)(=O)O.CCCCN(CCCC)CCCOC(=O)c1ccc(cc1)N.CCCCN(CCCC)CCCOC(=O)c1ccc(cc1)N,-11.85315733,9.0262,710.964,0.31954180100480856,0.6279020019881466,Low logS High logP,0.13187801702408788,Most Similar
C1734,BIADSXOKHZFLSN-YEUOVSOVSA-N,C/C(=C\CCC1[C@](C)(O)CCC2[C@]1(C)CCCC2(C)C)/CC[C@@H]1C(=C)CCCC1(C)C,-11.79334998,8.8692,428.733,0.32254452580736015,0.6229630934554742,Low logS High logP,0.07988949247914118,Least Similar
C1,ONXPZLFXDMAPRO-UHFFFAOYSA-N,Clc1c(c2c(Cl)c(Cl)c(c(c2Cl)Cl)Cl)c(Cl)c(c(c1Cl)Cl)Cl,-11.62,9.8876,498.658,0.3312478421132628,0.6549999370839676,Low logS High logP,0.08136271687327118,Least Similar
C1736,FEQOTXWZPMPKGW-UHFFFAOYSA-N,O=C1c2ccccc2c2c3c1ccc(c3ccc2)c1ccc2c3c1cccc3c1c(C2=O)cccc1,-11.53102072,8.0828,458.506,0.3357151908750652,0.5982245095695284,Low logS High logP,0.12016269619368693,Most Similar
C1737,YKSGNOMLAIJTLT-UHFFFAOYSA-N,O=C1c2ccccc2c2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)c2c(C1=O)cccc2,-11.51331275,8.16,456.49,0.33660424816855566,0.6006530684148935,Low logS High logP,0.11694228587204876,Least Similar
C1738,ZPACYDRSPFRDHO-ROBAGEODSA-N,C/C(=C\CCC(=O)OC/C=C(/CCC=C(C)C)\C)/CC/C=C(/CCC=C(C)C)\C,-11.4756571,8.4217,400.637,0.33849481102096773,0.6088856312365516,Low logS High logP,0.07806430818951622,Least Similar
C1739,FYPMFJGVHOHGLL-UHFFFAOYSA-N,CC(Sc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)(Sc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)C,-11.36117614,9.9083,516.842,0.3442425129006183,0.6556511180178933,Low logS High logP,0.08673738528878108,Least Similar
C1740,VIQCGTZFEYDQMR-UHFFFAOYSA-N,CCCCCCCCCC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,-11.35885907,7.9405,591.771,0.3443588451500533,0.5937480338739917,Low logS High logP,0.15363250999085576,Most Similar
C1741,OYIBHXRZSMTHLW-XIDBHWPPSA-N,Clc1ccc2c(c1)/C(=C/CCN1CCCCC1)/c1c(S2)cccc1.Br,-11.32225509,7.0083,436.836,0.34619660720802947,0.5644228712360483,Low logS High logP,0.12777587872093316,Most Similar
C1742,QEFDFGVDVZTFAK-GGXMVOPNSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC(=O)OC[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,-11.31996592,8.1787,647.627,0.3463115386928095,0.6012413333165556,Low logS High logP,0.13015006303107973,Most Similar
C1743,IDWDXHQLOMJDRU-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC(C(c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,-11.28911114,8.6355,589.591,0.34786065285993567,0.6156113550855028,Low logS High logP,0.13409998731224648,Most Similar
C1744,WWVAPFRKZMUPHZ-UHFFFAOYSA-N,O=C(Nc1c(I)cc(c(c1I)C(=O)O)I)CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(c(c1I)C(=O)O)I,-11.20897751,6.2804,1287.92,0.35188389144715765,0.5415245812938052,Low logS High logP,0.09608859189220856,Least Similar
C1745,RCUAUWPBLXTBGM-UHFFFAOYSA-N,CC(=CCN(CCC(c1cccc2c1cccc2)(C(=O)N)CCN(CC=C(C)C)CC=C(C)C)CC=C(C)C)C,-11.027901,8.5122,543.826,0.36097513069678977,0.6117325816964678,Low logS High logP,0.13018810706573147,Most Similar
C1746,DDWKCBUSQTZBMR-UHFFFAOYSA-N,N#CC(c1cccc2c1cccc2)(CCN(CC=C(C)C)CC=C(C)C)CCN(CC=C(C)C)CC=C(C)C,-11.02187123,8.85018,525.81,0.36127786505858106,0.6223647619886499,Low logS High logP,0.1259392586363117,Most Similar
C1749,MNULEGDCPYONBU-ZZTRBZRQSA-N,CC[C@@H]1/C=C/C=C/C[C@H](C)[C@@H](O)[C@](C)(O)C(=O)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@H]([C@H]([C@@H](/C=C/C(=O)O[C@H]2[C@H]([C@@H](CC1)O[C@@]1(CC[C@H]([C@H](O1)C[C@@H](O)C)C)[C@H]2C)C)C)O)C,-10.92140987,5.8826,791.062,0.36632169023007033,0.5290105824766267,Low logS High logP,0.08611265482284985,Least Similar
C1750,JXMIBUGMYLQZGO-UHFFFAOYSA-N,O=C(Nc1c(I)cc(c(c1I)C(=O)O)I)COCCOCCOCC(=O)Nc1c(I)cc(c(c1I)C(=O)O)I,-10.9116823,5.4836,1215.81,0.3668100786256029,0.5164588340400901,Low logS High logP,0.09476440677338094,Least Similar
C1752,MQYXUWHLBZFQQO-QGTGJCAVSA-N,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C,-10.84482232,8.0248,426.717,0.3701668921317038,0.5963999446338916,Low logS High logP,0.06461718803833963,Least Similar
C1753,FTQDJVZNPJRVPG-XWEVEMRCSA-N,CC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2C(=O)C=C2[C@@]1(C)CC[C@@]1([C@H]2C[C@](C)(CC1)C(=O)O)C)C)C,-10.59594624,6.9834,512.721,0.3826621185240756,0.5636395666343698,Low logS High logP,0.08995066842358809,Least Similar
C2,XIFFTDRFWYFAPO-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c(c(c1Cl)Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl,-10.41,9.2342,464.213,0.3919978504498207,0.6344452693435341,Low logS High logP,0.10088454710186569,Least Similar
C1756,DLVULIKDGUJXMV-UHFFFAOYSA-N,Brc1ccc(nc1)OCCCCCCNCCSSCCNCCCCCCOc1ccc(cn1)Br.Cl.Cl,-10.38202647,9.5266,737.481,0.39340230679750915,0.6436435932604345,Low logS High logP,0.1370851952695894,Most Similar
C1757,JMPFSEBWVLAJKM-UHFFFAOYSA-N,N#CC(c1cc(C)c(cc1Cl)NC(=O)c1cc(I)cc(c1O)I)c1ccc(cc1)Cl,-10.3473464,7.19738,663.074,0.39514347584016407,0.5703709529262246,Low logS High logP,0.1222867699053859,Most Similar
C1758,OFHCOWSQAMBJIW-AVJTYSNKSA-N,CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CCC/C/2=C\C=C/1\C[C@@H](O)C[C@@H](C1=C)O)C)C,-10.32860405,6.5898,400.637,0.3960844658556572,0.5512576914849442,Low logS High logP,0.09242163630983372,Least Similar
C3,JFIMDKGRGPNPRQ-UHFFFAOYSA-N,Clc1cc(c(c(c1Cl)Cl)Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,-10.26,9.2342,464.213,0.39952884321881554,0.6344452693435341,Low logS High logP,0.09980173134649784,Least Similar
C1759,UBDWKOZBPSKHMO-UHFFFAOYSA-N,CCC(C(c1ccc(cc1)OCCN(CC)CC)CC)c1ccc(cc1)OCCN(CC)CC,-10.25096331,6.8152,468.714,0.39998254486578655,0.5583483283210227,Low logS High logP,0.12718569750135436,Most Similar
C1760,QYIXCDOBOSTCEI-FBVYSKEZSA-N,CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC[C@@H]2[C@]1(C)CC[C@H](C2)O)C)C,-10.05051608,7.4686,388.669,0.41004632246375344,0.5789029960614563,Low logS High logP,0.07592718675244438,Least Similar
C1761,COQAPWLZSHQTKA-MSDOJSJISA-N,O=C/C(=C\C[C@]12OC([C@H]3[C@]42Oc2c(C(=O)C4=C[C@@H](C1=O)C3)c(O)c1c(c2CC=C(C)C)OC(C=C1)(C)C)(C)C)/C,-10.05037097,5.6271,544.635,0.4100536079461582,0.5209730593549848,Low logS High logP,0.09888061220078434,Least Similar
C1762,KQXDHUJYNAXLNZ-XQSDOZFQSA-N,CC[C@H]([C@H]1O[C@]2(C=C[C@H]([C@@]3(O2)CC[C@@](O3)(C)[C@H]2CC[C@]([C@@H](O2)C)(O)CC)O)[C@@H](C[C@@H]1C)C)C(=O)[C@H]([C@H]([C@@H]([C@@H]1O[C@H](CC[C@@H]1C)[C@H](C(=O)O)CC)C)O)C,-10.00995023,6.188,750.999,0.41208299661720765,0.5386178606032389,Low logS High logP,0.0781821859026726,Least Similar
C1763,ZDMXWGVLXYXVTN-XKRXHFONSA-N,C/C(=C/CNCC1CCC(CC1)CNC/C=C(\CCC=C(C)C)/C)/CCC=C(C)C.Cl.Cl,-10.00056858,9.7432,487.632,0.41255401753928256,0.6504573995545544,Low logS High logP,0.08468570335298413,Least Similar
C1768,MIJYXULNPSFWEK-GTOFXWBISA-N,O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC=C2[C@@]1(C)CC[C@@]1([C@H]2CC(C)(C)CC1)C(=O)O)C)C,-9.925642185,7.2336,456.7,0.4163158184656282,0.5715103622705138,Low logS High logP,0.07845258593095147,Least Similar
C1769,BQJJCIYAPLCGJD-UHFFFAOYSA-N,Clc1cnc(c(c1)Cl)OCCCCCNCCSSCCNCCCCCOc1ncc(cc1Cl)Cl.Cl.Cl,-9.878475187,9.835,689.416,0.41868391393811616,0.6533452454354418,Low logS High logP,0.13096773924826244,Most Similar
C1770,RVVVMCHNTQXDPI-UHFFFAOYSA-N,CC(c1cc(Cc2cc(cc(c2O)C(C)(C)C)C(C)C)c(c(c1)C(C)(C)C)O)C,-9.868394839,7.5304,396.605,0.4191900141240958,0.5808471014583935,Low logS High logP,0.1014648737621727,Least Similar
C1771,WVTKBKWTSCPRNU-KYJUHHDHSA-N,COc1c(OC)cc2c3c1Oc1cc4c(cc1OC)CCN([C@H]4Cc1ccc(Oc4cc(C[C@@H]3N(CC2)C)ccc4OC)cc1)C,-9.864392559,7.0382,622.75,0.41939095506902574,0.5653634659183853,Low logS High logP,0.11065311770882316,Least Similar
C1772,LRWSFOSWNAQHHW-UHFFFAOYSA-N,CCCCCCC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,-9.794162679,6.7702,549.691,0.42291695985867495,0.5569327175950975,Low logS High logP,0.14999875244312566,Most Similar
C1773,HALWUDBBYKMYPW-UHFFFAOYSA-M,O=C1N(Cc2ccccc2)C2C(N1Cc1ccccc1)C[S+]1C2CCC1.O=C1CC2C(C1(CC2)CS(=O)(=O)[O-])(C)C,-9.791302251,5.5395,596.8,0.42306057227590316,0.5182173371418505,Low logS High logP,0.12119377872812476,Most Similar
C1774,DDOXROFFXDWGCO-UHFFFAOYSA-N,c1ccc2c(c1)C(NCC2)CC12CCC(CC1)(CC2)CC1NCCc2c1cccc2,-9.7376178,6.5388,400.599,0.4257558870244928,0.5496533326622289,Low logS High logP,0.10914131646968779,Least Similar
C1775,KMDLOETUWUPGMB-GSTUHXICSA-N,Cc1cc(ccc1N/N=C/1\C(=O)C=Cc2c1cccc2)/N=N/c1ccccc1C,-9.733343394,6.2039,380.442,0.42597049049567776,0.5391180430597324,Low logS High logP,0.12603111511357545,Most Similar
C1776,OBZHEBDUNPOCJG-SMVPYXKTSA-N,O=C(O[C@H]1CC[C@]2(C(C1(C)C)CC[C@@]1([C@@H]2C(=O)C=C2[C@@]1(C)CC[C@@]1([C@@H]2C[C@@](C)(CC1)C(=O)O)C)C)C)CCC(=O)O,-9.689760328,6.8283,570.757,0.4281586488616553,0.5587604283323476,Low logS High logP,0.09518449249899438,Least Similar
C1777,ICTGRDPWQUONIY-UHFFFAOYSA-N,OC(c1cccc(n1)C(Cc1ccccc1)(Cc1ccccc1)O)(Cc1ccccc1)Cc1ccccc1,-9.630483498,6.4276,499.642,0.4311347380489815,0.5461552012683871,Low logS High logP,0.11879149737658726,Least Similar
C1778,ITPDYQOUSLNIHG-UHFFFAOYSA-N,CCCCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)OCCN(CC)CC)cccc2.Cl,-9.578370491,7.7382,681.773,0.43375115590823204,0.5873840772105547,Low logS High logP,0.14694165745494636,Most Similar
C1779,PPJYSSNKSXAVDB-UHFFFAOYSA-N,OC(=O)Cc1cc(I)c(c(c1)I)Oc1cc(I)c(c(c1)I)O,-9.508316043,5.23,747.829,0.43726835285039145,0.5084810811490984,Low logS High logP,0.09853409973126147,Least Similar
C1781,QBEFIFWEOSUTKV-UHFFFAOYSA-N,CCCCCC(C(c1cc(O)c2c(c1)OC(C1=C2CC(C)CC1)(C)C)C)C,-9.471968448,7.4567,370.568,0.4390932426844938,0.5785286456694895,Low logS High logP,0.1143533272802824,Least Similar
C1782,HFVNWDWLWUCIHC-GUPDPFMOSA-N,ClCCN(c1ccc(cc1)CCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)C=C[C@]12C)CCCl,-9.468243915,5.4154,646.641,0.4392802388917663,0.5143133973399101,Low logS High logP,0.12925441196593523,Most Similar
C1787,YCOZIPAWZNQLMR-UHFFFAOYSA-N,CCCCCCCCCCCCCCC,-9.446383877,6.0975,212.415,0.4403777574791527,0.5357709101433227,Low logS High logP,0.0996994585483521,Least Similar
C1789,IGVGULKYVNFIOV-SPIKMXEPSA-N,c1ccc(cc1)C(c1ccccc1)N1CCN(CC1)CC1COC2(O1)c1ccccc1CCc1c2cccc1.OC(=O)/C=C\C(=O)O.OC(=O)/C=C\C(=O)O,-9.407515023,5.1083,748.817,0.4423292312019068,0.504652640585874,Low logS High logP,0.11484812630168822,Least Similar
C1790,HIYAVKIYRIFSCZ-CYEMHPAKSA-N,CNc1ccc2c(c1C(=O)O)nc(o2)C[C@H]1O[C@@]2(CC[C@H]1C)O[C@@H]([C@@H](C[C@H]2C)C)[C@@H](C(=O)c1ccc[nH]1)C,-9.405368174,5.6028,523.621,0.44243701723054096,0.5202086295629852,Low logS High logP,0.11165323244164414,Least Similar
C1791,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,CCCCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)OCCN(CC)CC)cccc2,-9.35875668,6.9362,645.312,0.4447772227256479,0.5621547482729549,Low logS High logP,0.14677087169914566,Most Similar
C1792,NQERQCNWHNKCSA-UHFFFAOYSA-N,Brc1cccnc1OCCCCCNCCSSCCNCCCCCOc1ncccc1Br.Cl.Cl,-9.34170213,8.7464,709.428,0.44563347401050435,0.6191000490745051,Low logS High logP,0.1280388878153237,Most Similar
C1793,RJEKQCDPXXLTSK-UHFFFAOYSA-N,Brc1ccc(nc1)OCCCCCNCCSSCCNCCCCCOc1ccc(cn1)Br.Cl.Cl,-9.34170213,8.7464,709.428,0.44563347401050435,0.6191000490745051,Low logS High logP,0.135567832406701,Most Similar
C4,VPUGDVKSAQVFFS-UHFFFAOYSA-N,c1cc2ccc3c4c2c2c1ccc1c2c2c4c(cc3)ccc2cc1,-9.3299999,6.9192,300.352,0.446221003407245,0.5616199619987166,Low logS High logP,0.11135430352519414,Least Similar
C1794,WYQWZFORYHRFBW-UHFFFAOYSA-N,Clc1ccc(nc1)OCCCCCCNCCSSCCNCCCCCCOc1ccc(cn1)Cl.Cl.Cl,-9.321997031,9.3084,648.579,0.4466228003977131,0.6367794541405041,Low logS High logP,0.14164734967305603,Most Similar
C1795,HSTCMJJFYYQQRG-UHFFFAOYSA-N,COc1ccc2c(c1)c(CC(=O)Oc1ccccc1C(=O)Oc1ccccc1C(=O)O)c(n2C(=O)c1ccc(cc1)Cl)C,-9.267501588,6.3657,597.999,0.44935883231222096,0.5442079500698368,Low logS High logP,0.13562188438093187,Most Similar
C1797,RMIXHJPMNBXMBU-QIIXEHPYSA-N,C[C@@H]1C[C@H]2CC[C@H](O2)[C@H](C)C(=O)O[C@@H](C)C[C@@H]2CC[C@@H](O2)[C@@H](C)C(=O)O[C@@H](C[C@@H]2O[C@H]([C@@H](C(=O)O[C@H](C[C@H]3O[C@@H]([C@H](C(=O)O1)C)CC3)C)C)CC2)C,-9.24760863,6.022,736.929,0.450357590464567,0.5333958299253815,Low logS High logP,0.06126829055498681,Least Similar
C1799,JPEOONAIYXUZTI-UHFFFAOYSA-L,CC[N+](CCN1c2ccccc2Sc2c1cccc2)(CCCCCC[N+](CCN1c2ccccc2Sc2c1cccc2)(CC)CC)CC.[Br-].[Br-],-9.236306986,5.0038,840.859,0.4509250077928454,0.5013652779001144,Low logS High logP,0.13351825191475397,Most Similar
C1801,UWEYRJFJVCLAGH-UHFFFAOYSA-N,FC12C(F)(C(F)(F)C(C(C2(F)F)(F)F)(F)F)C(F)(F)C(C(C1(F)F)(F)F)(F)F,-9.193426391,5.5126,462.078,0.45307789746534677,0.5173711165079086,Low logS High logP,0.011455987070570035,Least Similar
C1802,VHVPQPYKVGDNFY-UHFFFAOYSA-N,CCC(n1ncn(c1=O)c1ccc(cc1)N1CCN(CC1)c1ccc(cc1)OCC1COC(O1)(Cn1cncn1)c1ccc(cc1Cl)Cl)C,-9.174733823,5.7073,705.633,0.45401638809495964,0.5234959922487449,Low logS High logP,0.11876464263071822,Least Similar
C5,DTMRKGRREZAYAP-UHFFFAOYSA-N,Clc1cc(c(c(c1Cl)Cl)Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl,-9.1599998,8.5808,429.768,0.45475613356610106,0.6138906016031005,Low logS High logP,0.10922756452852887,Least Similar
C6,JPOPEORRMSDUIP-UHFFFAOYSA-N,Clc1c(Cl)cc(c(c1c1c(Cl)c(Cl)cc(c1Cl)Cl)Cl)Cl,-9.1499996,8.5808,429.768,0.4552582097920244,0.6138906016031005,Low logS High logP,0.10862962650251788,Least Similar
C1804,XZJJDJAXUSQABJ-UHFFFAOYSA-N,N(Cc1cccc2c1cccc2)CC1CCC(CC1)CNCc1cccc2c1cccc2.Cl.Cl,-9.085477305,9.0646,495.526,0.4584976560392507,0.6291099898076027,Low logS High logP,0.14807198639095973,Most Similar
C1805,ZPDJJEQOURSXEY-UHFFFAOYSA-N,N(Cc1ccc2c(c1)cccc2)CC1CCC(CC1)CNCc1ccc2c(c1)cccc2.Cl.Cl,-9.085477305,9.0646,495.526,0.4584976560392507,0.6291099898076027,Low logS High logP,0.14958021180156547,Most Similar
C7,GYFAGKUZYNFMBN-UHFFFAOYSA-N,c1cc2ccc3c4c2c(c1)c1cccc2c1c4c(cc3)cc2,-9.0299997,6.3282,276.331,0.4612829989865584,0.5430282744648991,Low logS High logP,0.12872678763471054,Most Similar
C1807,SJRYSBPDUOVODQ-UHFFFAOYSA-N,COc1ccc(cc1)C(=Cc1ccc(cc1)C(=N)N)c1ccc(cc1)OC.Cl,-8.967076424,6.1788,394.894,0.46444216389694143,0.5383284468548275,Low logS High logP,0.11395140787113739,Least Similar
C1808,KISDGNGREAJPQR-OICBGKIFSA-N,OC[C@H]1NC(=O)[C@H](C(C)C)N(c2c3c(C1)c[nH]c3c(cc2)[C@](CCC=C(C)C)(C=C)C)C,-8.947378142,5.2458,437.617,0.46543114802563224,0.5089781178039788,Low logS High logP,0.10558973735177819,Least Similar
C1809,RMIVRCBSQPCSCQ-BDANYOJNSA-N,COC(=O)[C@@]1(C)CC[C@]2([C@@H](C1)C1=CC(=O)[C@H]3[C@@]([C@@]1(CC2)C)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C,-8.94198208,6.501,484.71,0.46570206605165254,0.5484642196524517,Low logS High logP,0.08778932317904678,Least Similar
C8,PYZHTHZEHQHHEN-UHFFFAOYSA-N,Clc1ccc(c(c1)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl)Cl,-8.9399996,7.9274,395.323,0.46580159966861706,0.5933359338626668,Low logS High logP,0.12151136817914428,Most Similar
C1810,XHMIIRLZSKEDPY-UHFFFAOYSA-N,CC(=CCC(c1cccc2c1cccc2)(C(=O)N)CCN(CC=C(C)C)CC=C(C)C)C,-8.935435009,7.244,432.641,0.46603077234737983,0.571837525638283,Low logS High logP,0.13374668368516035,Most Similar
